typeCode;freqCode;refPeriodId;refYear;refMonth;period;reporterCode;reporterISO;reporterDesc;flowCode;flowDesc;partnerCode;partnerISO;partnerDesc;partner2Code;partner2ISO;partner2Desc;classificationCode;classificationSearchCode;isOriginalClassification;cmdCode;cmdDesc;aggrLevel;isLeaf;customsCode;customsDesc;mosCode;motCode;motDesc;qtyUnitCode;qtyUnitAbbr;qty;isQtyEstimated;altQtyUnitCode;altQtyUnitAbbr;altQty;isAltQtyEstimated;netWgt;isNetWgtEstimated;grossWgt;isGrossWgtEstimated;cifvalue;fobvalue;primaryValue;legacyEstimationFlag;isReported;isAggregate
C;A;19920101;1992;52;1992;372;IRL;Ireland;M;Import;724;ESP;Spain;0;W00;World;H0;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;48800;FALSE;-1;N/A;;FALSE;48800;FALSE;;FALSE;197828;;197828;0;TRUE;FALSE
C;A;19920101;1992;52;1992;372;IRL;Ireland;M;Import;842;USA;USA;0;W00;World;H0;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1688000;FALSE;-1;N/A;;FALSE;1688000;FALSE;;FALSE;1423467;;1423467;0;TRUE;FALSE
C;A;19960101;1996;52;1996;372;IRL;Ireland;M;Import;504;MAR;Morocco;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;179;FALSE;-1;N/A;;FALSE;179;FALSE;;FALSE;579;;579;0;FALSE;FALSE
C;A;19960101;1996;52;1996;372;IRL;Ireland;M;Import;620;PRT;Portugal;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;3875;FALSE;-1;N/A;;FALSE;3875;FALSE;;FALSE;7109;;7109;0;FALSE;FALSE
C;A;19960101;1996;52;1996;372;IRL;Ireland;M;Import;842;USA;USA;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1400437;FALSE;-1;N/A;;FALSE;1400437;FALSE;;FALSE;1004489;;1004489;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;251;FRA;France;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;31;FALSE;-1;N/A;;FALSE;31;FALSE;;FALSE;6425;;6425;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;276;DEU;Germany;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;47453;FALSE;-1;N/A;;FALSE;47453;FALSE;;FALSE;109122;;109122;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;380;ITA;Italy;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;16132;FALSE;-1;N/A;;FALSE;16132;FALSE;;FALSE;103252;;103252;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;392;JPN;Japan;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1985500;FALSE;-1;N/A;;FALSE;1985500;FALSE;;FALSE;890306;;890306;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;620;PRT;Portugal;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;34578;FALSE;-1;N/A;;FALSE;34578;FALSE;;FALSE;67606;;67606;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;724;ESP;Spain;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1373375;FALSE;-1;N/A;;FALSE;1373375;FALSE;;FALSE;3094642;;3094642;0;FALSE;FALSE
C;A;19960101;1996;52;1996;826;GBR;United Kingdom;M;Import;842;USA;USA;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;26335382;FALSE;-1;N/A;;FALSE;26335382;FALSE;;FALSE;20703728;;20703728;0;FALSE;FALSE
C;A;20000101;2000;52;2000;372;IRL;Ireland;M;Import;842;USA;USA;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1918174;FALSE;8;kg;1918174;FALSE;1918174;FALSE;0;FALSE;2291978,358;0;2291978,358;0;FALSE;TRUE
C;A;20000101;2000;52;2000;826;GBR;United Kingdom;M;Import;251;FRA;France;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;27668;FALSE;-1;N/A;;FALSE;27668;FALSE;;FALSE;114837;;114837;0;FALSE;FALSE
C;A;20000101;2000;52;2000;826;GBR;United Kingdom;M;Import;276;DEU;Germany;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;4322;FALSE;-1;N/A;;FALSE;4322;FALSE;;FALSE;11264;;11264;0;FALSE;FALSE
C;A;20000101;2000;52;2000;826;GBR;United Kingdom;M;Import;620;PRT;Portugal;0;W00;World;H1;HS;TRUE;4416;Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves;4;FALSE;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;4665;FALSE;-1;N/A;;FALSE;4665;FALSE;;FALSE;8473;;8473;0;FALSE;FALSE
